,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
3037,,PLATANO BISCOCHO (PLÁTANO,,,,,,,,,,,,
3038,,,,,,,,SALVADO DE AVENA,,,,,,
3039,,,,,,,,,,"LECHE MATERNIZADA (NAN,S2",,,,
3040,,MANZANA  CAÑA,,,,,,,,,,,,
3041,,,,,,,,OREGANO SECO EN POLVO ENV,,,,,,
3042,,ESCENCIA DE MANZANA CORRI,,,,,,,,,,,,
3043,,,,,,,PIMIENTA Y COMINO MOLIDA,,,,,,,
3044,,,,,,,,,,LECHE EN POLVO,,,,
3045,,,,,,,,,,CANCHITA CON QUESO,,,,
3046,,,,,,,,,,,HIGADO DE CHANCHO,,,
3047,,,,,,,,,,PALITOS CON SABOR A QUESO,,,,
3048,,,,,,,,AVENA CON QUINUA,,,,,,
3049,,,,,,,,,,LECHE DE SOYA,,,,
3050,,,,,,,,CANELA ENTERA CON CLAVO D,,,,,,
3051,,,,,,,,,,QUINUA CON LECHE,,,,
3052,,,,,,,,HOJUELA DE AVENA AGRANEL,,,,,,
3053,,,,,,,,,,,,GALLETA RELLENA ENVASDA,,
3054,,,,,,,,CAL EN POLVO PARA HORNEAR,,,,,,
3055,,PLATANO ROJO,,,,,,,,,,,,
3056,,,,COCA FILTRANTE,,,,,,,,,,
3057,,,,,,,,HOJUELAS DE AVENA PRECOCI,,,,,,
3058,,,,,,,,,,QUESO MOZZARELA,,,,
3059,,,,,,,SALSA DE OSTION ENVASADA,,,,,,,
3060,,,,,,,,,,,CABEZA DE CHANCHO PRECOSI,,,
3061,,,,,,,,CANELA Y CLAVO ENVASADA,,,,,,
3062,,,,,,,,,,,,GALLETA RELLENAENVASADA,,
3063,,,,,,,,CANELA CLAVO DEMOLOR ENTE,,,,,,
3064,,,,,,,,,,,,GALLETA DE SODA ENVASADA,,
3065,,,,,,,OREGANO MOLIDA ENVASADA,,,,,,,
3066,,,,,,,,,,LECHE EVAPORADA SIN LACTO,,,,
3067,,,,,,,SALSA DE OSTIÓN,,,,,,,
3068,,,,,,,,CEBOLLA EN POLVO A GRANEL,,,,,,
3069,,PLATANO INGIRE,,,,,,,,,,,,
3070,,,,,,,,CANELA  Y CLAVO SE OLOR E,,,,,,
3071,,,,,,,,CANELA Y CLAVL DE OLOR EN,,,,,,
3072,,,,HIERBA LUIS FILTRANTE,,,,,,,,,,
3073,,,,,,,,,,SUERO DE LECHE PARA OVEJA,,,,
3074,,,,,,,,POLVO DE HORNEAR ENVASADO,,,,,,
3075,,,,,,,,AVENA GRANO,,,,,,
3076,,,,MENTA MUÑA EN FILTRANTE,,,,,,,,,,
3077,,,,,,,,CANELA Y CLAVO DE OLOR DE,,,,,,
3078,,MANZANA ANDINA,,,,,,,,,,,,
3079,,,,,,,,AVENA CON OJUELAS INSTANT,,,,,,
3080,,,,,,,,QUINUA AVENA CON CHOCOLAT,,,,,,
3081,,,,,,,COMINO PIMIENTA MOLIDA A,,,,,,,
3082,,,,,,,,,,QUESO ANDINO,,,,
3083,,MANZANA PERITO,,,,,,,,,,,,
3084,,,,,,,,,,,,GALLETAS DE VAINILLA ENVA,,
3085,,,,,,,,,,QUESO EDAN,,,,
3086,,,,,,,,,,,,GALLETAS SALADAS ENVADADA,,
3087,,,,,,,,,,,,GALLETA SODA ENVASADO,,
3088,,,,,,,,,,QUESO DIETETICO,,,,
3089,,,,BALERIANA FILTRANTE,,,,,,,,,,
3090,,MANZANA FUJI,,,,,,,,,,,,
3091,,PLATANO DE ORGANICO,,,,,,,,,,,,
3092,,,,,,,,,,CACHITOS DE QUESO,,,,
3093,,,,ANIS-FILTRANTE EN CAJA,,,,,,,,,,
3094,,,,,,,,,,,,GALLETAS CON SABOR A NARA,,
3095,,,,,,,,,,,,GALLETA INTEGRAL,,
3096,,,,,,,,,,SANDWICH DE QUESO,,,,
3097,,,,,,,,,,,PELLEJO DE CHANCHO TOSTAD,,,
3098,,,,,,,,,,QUESO HUAROCHIRI,,,,
3099,,,,,,,TARWI MOLIDA PRECOCIDA,,,,,,,
3100,,,,,,,,,,QUESO PARIA PASTEURIZACIÓ,,,,
3101,,,,,,,,AVENA CHANCADA A GRANEL,,,,,,
3102,,,,,,,,BEBIDA ORGANICA DE AVENA,,,,,,
3103,,,,,,,,,,QUESO SUIZA,,,,
3104,,,,,,,,,,,RELLENO DE CHANCHO,,,
3105,,MANZANA GOLDEN,,,,,,,,,,,,
3106,,PLATANO MORADA,,,,,,,,,,,,
3107,,,,,,,,,,"LECHE MATERNIZADA(NAN, S2",,,,
3108,,,,,,,CANELS CLAVO,,,,,,,
3109,,,,,,,,LEVADURA EN POLVO A GRANE,,,,,,
3110,,,,NARANJA FILTRANTE,,,,,,,,,,
3111,,,,,,,,,,,FILETE DE CHANCHO,,,
3112,,,,,,,COMINO PIMENTA MOLIDA ENV,,,,,,,
3113,,,,,,,,CANELA Y CLAVO OLOR A GRA,,,,,,
3114,,,,,,,,CANELA CLAVO ENTERO ENVAS,,,,,,
3115,,,,,,,,,,,,GALLETAS DE SODA ENVASADA,,
3116,,,,,,,,,,,LENGUA DE CHANCHO,,,
3117,,,,,,,ALBAHACA MOLIDA  A GRANEL,,,,,,,
3118,,,,,,,,,,LECHE DESOYA PREPARADA,,,,
3119,,PLATANO MADURO PARA FREIR,,,,,,,,,,,,
3120,,,,,,,,CANELA Y CLAVO OLOR ENVAS,,,,,,
3121,,,,,,,PIMIENTA NEGRA  MOLIDA EN,,,,,,,
3122,,,,,,,,SAZONADOR TUCO EN POLVO T,,,,,,
3123,,,,,,,,,,,,GALLETA INTEGRAL ENVASADA,,
3124,,,,,,,,CANELA CON DLAVO DE OLOR,,,,,,
3125,,,,,,,,,,,ARROZ CON CHANCHO,,,
3126,,,,GUANABANA EN FILTRANTE,,,,,,,,,,
3127,,,,,,,,,,,,GALLETA WAFER,,
3128,,MANZANA DE CAÑA,,,,,,,,,,,,
3129,,,,,,,,,,,,GALLETAS DE MANTEQUILLA,,
3130,,,,,,,,,,QUESO PARMESANO,,,,
3131,,,,,,,CURCUMA MOLIDA,,,,,,,
3132,,,,,,,SALSA DE TOMATE ENVASADA,,,,,,,
3133,,,,,,,SALMON EN SALSA DE TOMATE,,,,,,,
3134,,PLATANO GUAYABO,,,,,,,,,,,,
3135,,,,,,,,AZUCAR EN POLVO FRUTO DEL,,,,,,
3136,,MANZANA HELADA,,,,,,,,,,,,
3137,,,,HIERBA LUIZA FILTRANTE,,,,,,,,,,
3138,,,,,,,,CANELA Y CLAVO A GRANEL,,,,,,
3139,,,,,,,,,,,PATA DE CHANCHO AHUMADO,,,
3140,,,,,,,,TE CANELA CLAVO DE OLOR F,,,,,,
3141,,,,DULCES SUEÑOS FILTRANTE,,,,,,,,,,
3142,,,,,,,,TE-CANELA-CLAVO FILTRANTE,,,,,,
3143,,PLATANO MANZANITO,,,,,,,,,,,,
3144,,,,,,,,,,,PATITAS DE CHANCHO AHUMAD,,,
3145,,,,,,,,TÉ CANELA Y CLAVO FILTRAN,,,,,,
3146,,,,,,,SALSA CHINA ENVASADA,,,,,,,
3147,,,,HIERVA LUISA FILTRANTE,,,,,,,,,,
3148,,,,,,,,,,LECHE DE OVEJA,,,,
3149,,CHIFLE DE PLATANO,,,,,,,,,,,,
3150,,,,,,,,AVENA CON KIWICHA,,,,,,
3151,,,,,,,,,,,,GALLETA DE VAINILLA ENVAS,,
3152,,MANZANA MAJEÑA,,,,,,,,,,,,
3153,,,,,,,,SAZONADOR EN POLVO ENVSAD,,,,,,
3154,,QUINUA CON MANZANA PREPAR,,,,,,,,,,,,
3155,,,,,,,,AVENA EN HOJUELA SIN GLUT,,,,,,
3156,,,,,,,,,,LECHE MATERNIZADA,,,,
3157,,,,,,,,,,,,GALLETA SALADA(ENVASADA),,
3158,,,,,,,,CANELA ENTERA A GRANEL PA,,,,,,
3159,,,,,,,CLAVO DEL OLOR A GRANEL,,,,,,,
3160,,,,,,,SARDINA EN SALSA DE YOMAT,,,,,,,
3161,,,,,,,,,,,,GALLETAS VAINILLAS ENVASA,,
3162,,,,,,,,CACAO EN POLVO ORGANICO,,,,,,
3163,,,,,,,,AVENA CON CHIA,,,,,,
3164,,,,,,,,,,,,GALLETAS CUBIERTA DE CHOC,,
3165,,,,,,,,,,RETAZOS DE QUESO,,,,
3166,,,,,,,,,,TRIGO CON LECHE PREPARADA,,,,
3167,,,,,,,CLAVO DE OLOR PARA INFUSI,,,,,,,
3168,,,,,,,,,,LECHE EVAPORADA  PARA GAT,,,,
3169,,,,,,,PIMIENTA COMINO MOLIDA EN,,,,,,,
3170,,,,,,,,,,,,GALLETAS RELLENA DULCE EN,,
3171,,,,MANZANILLA FILTRANTE ENVA,,,,,,,,,,
3172,,,,,,,,SAZONADOR EN POLVO 3NVASA,,,,,,
3173,,,,,,,SALSA DE OSTION,,,,,,,
3174,,,,,,,,,,,OREJAS DE CHANCHO,,,
3175,,,,,,,,,,,,GALLETA PARA GATO SUELTO,,
3176,,,,,,,,AVENA CON MANZANA ENVASAD,,,,,,
3177,,PLATANO SAPUCHO,,,,,,,,,,,,
3178,,,,ANIS FILTRANTE,,,,,,,,,,
3179,,,,,,,COMINO Y PIMENTA MOLIDA E,,,,,,,
3180,,,,,,,,AVENA PREPARADA,,,,,,
3181,,MANZANA PARA LORO,,,,,,,,,,,,
3182,,,,,,,CURCUMA MOLIDA A GRANEL,,,,,,,
3183,,,,TE RELAJANTE FILTRANTE,,,,,,,,,,
3184,,,,,,,,CANELA Y  CLAVO DE OLOR E,,,,,,
3185,,,,VALERIANA FILTRANTE,,,,,,,,,,
3186,,,,,,,,MEZCLA LACTEA EN POLVO,,,,,,
3187,,,,,,,,,,QUESO DE CHANCHO,,,,
3188,,,,,,,,,,,TRIPA DE CHANCHO AHUMADO,,,
3189,,PLATANO DE SEDA ORGANICO,,,,,,,,,,,,
3190,,,,,,,,AVENA PREPARADA QUAKER,,,,,,
3191,,,,,,,,,,QUESO ENVASADO,,,,
3192,,,,,,,,,,CACHO DE QUESO,,,,
3193,,,,,,,,,,,TOCINO DE CHANCHO,,,
3194,,,,,,,,,,QUESO AHUAMADO,,,,
3195,,,,,,,,OREGANO EN POLVO ENVASADO,,,,,,
3196,,,,,,,,,,LECHE CHOCOLATADA ENVASAD,,,,
3197,,CHAPO DE PLATANO,,,,,,,,,,,,
3198,,,,,,,,,,,,GALLETA DE CHUÑO,,
3199,,,,HIERBALUISA FILTRANTE,,,,,,,,,,
3200,,,,,,,SALSA MENSI,,,,,,,
3201,,,,,,,,CANELA CLAVO ENVASADO,,,,,,
3202,,PLATANO MONTAÑEZ,,,,,,,,,,,,
3203,,,,,,,,,,,,GALLETA RELLENA DE CHOCOL,,
3204,,,,,,,,,,,CORAZON DE CHANCHO,,,
3205,,,,,,,,,,LECHE DE SOYA PREPARADA,,,,
3206,,PLATANO MORADO,,,,,,,,,,,,
3207,,,,,,,,SAZONADOR EN POLVO ENVASA,,,,,,
3208,,,,,,,,,,,CECINA DE CHANCHO PURA CA,,,
3209,,,,,,,,AVENA INSTANTÁNEA ENVASAD,,,,,,
3210,,PLATANO ORGÁNICA,,,,,,,,,,,,
3211,,,,,,,,,,,CHICHARRON DE CHANCHO CON,,,
3212,,,,,,,,,,,,GALLETAS RELLENA DULCES E,,
3213,,,,,,,,,,,BRAZUELO DE CHANCHO,,,
3214,,,,,,,,AVENA CON KIWICHA ENVASAD,,,,,,
3215,,,,,,,,,,,,GALLETAS CON RELLENO,,
3216,,,,,,,,TÉ CANELA CLAVO FILTRANTE,,,,,,
3217,,,,HUERBA LUISA FILTRANTE,,,,,,,,,,
3218,,,,,,,,HOJUEKAS DE AVENA,,,,,,
3219,,,,,,,,,,,,GALLETAS DE NUECES,,
3220,,,,,,,,AZÚCAR EN POLVO,,,,,,
3221,,,,,,,,SAZONADOR TUCO EN POLVO,,,,,,
3222,,JUGO DE PLATANO,,,,,,,,,,,,
3223,,,,,,,,,,,,GALLETAS INTEGRAL ENVASAD,,
3224,,,,,,,,CEBOLLA EN POLVO,,,,,,
3225,,,,,,,,,,QUESO PARIA PASTEURIZADO,,,,
3226,,,,,,,SARDINA S EN SALSA DE TOM,,,,,,,
3227,,,,,,,,,,QUESO PARIA PATEURIZADO,,,,
3228,,VINAGRE DE MANZANA ENVASA,,,,,,,,,,,,
3229,,,,,,,,,,,,GALLETAS DE ANIMLES,,
3230,,,,,,,,PIMIENTO EN POLVO A GRANE,,,,,,
3231,,,,,,,,AVENA CON CHIA INSTANTÁNE,,,,,,
3232,,,,,,,,,,,CECINA DE CHANCHO AHUMADA,,,
3233,,,,,,,,ALIMENTOS EN POLVO ENVASA,,,,,,
3234,,,,,,,,TUCO EN POLVO ENVASADO,,,,,,
3235,,,,,,,,CANELA CLAVO SE OLOR ENTE,,,,,,
3236,,,,,,,,,,,COSTILLAR DE CHANCHO,,,
3237,,,,,,,,TE CANELA Y CLAVO FILTRAN,,,,,,
3238,,,,,,,,,,,,GALLETAS DULCES ENVASADO,,
3239,,,,,,,,CANELA Y CLAVO,,,,,,
3240,,,,,,,,,,,,GALLETA DE SODA,,
3241,,,,TE DE PIÑA FILTRANTE,,,,,,,,,,
3242,,,,FILTRANTE DE JAMAICA,,,,,,,,,,
3243,,,,,,,SARDINA SALSA TOMATE,,,,,,,
3244,,,,,,,,,,LECHE DE ALMENDRAS,,,,
3245,,,,,,,,,,QUESO MADURADO,,,,
3246,,,,,,,SARDINILLA EN SALSA DE TO,,,,,,,
3247,,,,BOLDO FILTRANTE,,,,,,,,,,
3248,,,,,,,,AJO EN POLVO A GRANEL,,,,,,
3249,,,,,,,,OREGANO EN POLVO A GRANEL,,,,,,
3250,,,,,,,SALSA TAUSI A GRANEL,,,,,,,
3251,,MANZANA PERITA,,,,,,,,,,,,
3252,,,,,,,,CANELA Y CLAVE ENVASADA,,,,,,
3253,,,,,,,,,,,,GALLETA PARA GATOS,,
3254,,,,TE FILTRANTE DE MIEL Y LI,,,,,,,,,,
3255,,,,,,,,,,LECHE EVAPORADA ENRIQUECI,,,,
3256,,,,,,,,,,,,GALLETA DULCE ANIMALITO,,
3257,,,,,,,TARWI  MOLIDA PRECOCIDA A,,,,,,,
3258,,PIE DE MANZANA,,,,,,,,,,,,
3259,,,,,,,,,,,ADOBO DE CHANCHO,,,
3260,,,,CURCUMA FILTRANTE,,,,,,,,,,
3261,,,,,,,,ORÉGANO SECO EN POLVO ENV,,,,,,
3262,,,,,,,ALBAHACA MOLIDA A GRANEL,,,,,,,
3263,,,,FRUTOS ROJOS FILTRANTES,,,,,,,,,,
3264,,PLATANO ORITO,,,,,,,,,,,,
3265,,,,,,,,,,LECHE CON CAFE,,,,
3266,,,,BOLDO  FILTRANTE,,,,,,,,,,
3267,,,,,,,,,,,,GALLETA RELLENA DE DULCE,,
3268,,,,HIERBA SURTIDA FILTRANTE,,,,,,,,,,
3269,,,,,,,,SAZONADOR EN POLVO ENFADA,,,,,,
3270,,,,,,,,,,,,GALLETAS ESPECIALES,,
3271,,,,,,,,,,LECHE  DE SOYA,,,,
3272,,,,,,,,CANELA CLAVO CE OLOR ENTE,,,,,,
3273,,,,,,,,CANELA COMINO PIMIENTA LA,,,,,,
3274,,,,,,,,,,,MANTECA DE CHANCHO A GRAN,,,
3275,,,,,,,,,,,,GALLETA RELLENITA ENVASAD,,
3276,,,,,,,,,,,,GALLETA PARA GATO,,
3277,,,,,,,CABELA CLAVO DE OLOR ENTE,,,,,,,
3278,,,,,,,,KION EN POLVO,,,,,,
3279,,PLATANO BISCOCHO,,,,,,,,,,,,
3280,,,,,,,,,,,,GALLETAS CON CREMA ENVASA,,
3281,,,,,,,,,,QUESO GOUDA,,,,
3282,,,,,,,,,,,CHILETA DE CHANCHO,,,
3283,,,,,,,SALSA A LA HUANCAINA,,,,,,,
3284,,,,,,,CANNELA  Y CLAVO DE OLOR,,,,,,,
3285,,,,TORONJIL FILTRANTE,,,,,,,,,,
3286,,,,NARANJA FILTRANTE PARA IN,,,,,,,,,,
3287,,,,,,,,,,,,GALLETAS SALADAS,,
3288,,,,FILTRANTES SURTIDOS,,,,,,,,,,
3289,,,,,,,,,,,CABEZA DE CHANCHO PRECOCI,,,
3290,,,,,,,,HOJUELO DE AVENA,,,,,,
3291,,,,,,,,MACA AVENA ENVASADA,,,,,,
3292,,PLATANO GUINEO,,,,,,,,,,,,
3293,,,,,,,,CHOCOLATE EN POLVO,,,,,,
3294,,,,,,,,,,,COMIDA PARA CHANCHO,,,
3295,,,,,,,,AVENA CON CHOCOLATE ENVAS,,,,,,
3296,,MANZANA PACHACAMAC,,,,,,,,,,,,
3297,,,,,,,,,,QUESO GRUYERE,,,,
3298,,,,,,,,AVENA INTEGRAL ENVASADO,,,,,,
3299,,,,,,,TE CON CLAVO FILTRANTE,,,,,,,
3300,,,,,,,,CANELA CHINA ENVASADA,,,,,,
3301,,,,,,,,,,LECHE EVAPORADA NAN,,,,
3302,,,,,,,,,,,,GALLETAS PICANTES,,
3303,,TARTALETA DE MANZANA,,,,,,,,,,,,
3304,,,,,,,CAFE CON CEBADA MOLIDA EN,,,,,,,
3305,,,,,,,,GALLETAS DE AVENA ENVASAD,,,,,,
3306,,,,,,,,CANELA  ENTERA Y CLAVO A,,,,,,
3307,,,,,,,,TORTA DE CANELA,,,,,,
3308,,PASTEL DE PLATANO,,,,,,,,,,,,
3309,,,,,,,,,,,CABEZA DE CHANCHO,,,
3310,,,,,,,,CANELA ENTERA CLAVO DE OL,,,,,,
3311,,,,,,,,,,,,GALLETA RELLENA ENVASADO,,
3312,,,,MIXTURAS FILTRANTES,,,,,,,,,,
3313,,,,,,,,,,,,GALLETAS SALADAS ENVASADO,,
3314,,,,EUCALIPTO FILTRANTE,,,,,,,,,,
3315,,,,,,,,HOJUELAS DE AVENA CON CHO,,,,,,
3316,,,,,,,SALSAS CHINAS A GRANEL,,,,,,,
3317,,,,,,,,,,,,GALLETA RELLENAS ENVASADA,,
3318,,HUMITAS DE PLATANO,,,,,,,,,,,,
3319,,,,,,,,,,LECHE DE SOYA PREPARADO,,,,
3320,,,,,,,,CANELA CON CLAVO ENVASADO,,,,,,
3321,,,,,,,,,,LECHE PARA GATO,,,,
3322,,,,,,,,QUINUA AVENA A GRANEL,,,,,,
3323,,,,,,,SARDINA SALSA DE TOMATE,,,,,,,
3324,,MANZANA WINTER,,,,,,,,,,,,
3325,,,,,,,TE CON CLAVO DE OLOR ENVA,,,,,,,
3326,,,,,,,,,,QUESO DAMBO,,,,
3327,,,,,,,CABALLA EN SALSA DE TOMAT,,,,,,,
3328,,,,,,,SALSA CHINA,,,,,,,
3329,,,,,,,,CANELA CLAVO DE OLOR ENTE,,,,,,
3330,,MANZANA ACARAMELADA,,,,,,,,,,,,
3331,,,,,,,,,,,,GALLETA DULCE ENVASADO,,
3332,,,,,,,,,,,,GALLETAS VAINILLA ENVASAD,,
3333,,,,FILTRANTES COMBINADOS,,,,,,,,,,
3334,,,,,,,,,,LECHE ENTERA UHT BOLSA,,,,
3335,,,,,,,,,,,ASADO DE CHANCHO,,,
3336,,,,,,,,,,QUESO PARIA,,,,
3337,,,,,,,,,,QUESO SERRANO,,,,
3338,,,,,,,,,,,,GALLETA SALADAS ENVASADA,,
3339,,PLATANO REBOSADO,,,,,,,,,,,,
3340,,,,,,,,,,,COMIDA PARA GATO,,,
3341,,,,CEBADA PELADO MOTE,,,,,,,,,,
3342,,,,CEBADA ENTER TOSTADA A GR,,,,,,,,,,
3343,,,,,,,,,,,COMODA PARA GATOS,,,
3344,,,,,,,,,,ACEITE VEGETAL REUTILIZAB,,,,
3345,,,,CEBADA TOSTADA PARTIDA,,,,,,,,,,
3346,,,,,,,,CHOCLO LIMEÑO,,,,,,
3347,,,,,,,,TRIGO PELADO MOTE(SIN CAS,,,,,,
3348,,,,,,,,,,MESCLA LACTEA,,,,
3349,,,,MORON  DE CEBADA,,,,,,,,,,
3350,,,,,,,,,ARROZ SUPERIOR ENVASADO C,,,,,
3351,,,,,,,LLIQTA DE HIERBAS NATURAL,,,,,,,
3352,,,,,,,,,,,,,,HUEVO DE CODORNIZ COCIDO
3353,,,,,,,,CHOCLO CRIOLLO,,,,,,
3354,,,,,,,,,,YOGURT DE SOYA,,,,
3355,,,,CEBADA TOSTADA ENTERA  A,,,,,,,,,,
3356,,,,,,,,,,,COMIDA PAR GATO,,,
3357,,,,,,,,,,YOGURT NATURAL,,,,
3358,ZANAHORIA CON ARVERJA,,,,,,,,,,,,,
3359,ALVERJA CON ZANAHORIA PIC,,,,,,,,,,,,,
3360,,,,,,,,MANI CON PASAS,,,,,,
3361,,,,,,,,,,,,,Fideos Tallarín Envasados,
3362,,,,,,,,MANI CON CASCARA CRUDO,,,,,,
3363,,,,,,,,,ARROZ CHANCADO,,,,,
3364,ZANAHORIA PARA CONEJO,,,,,,,,,,,,,
3365,,,,CHICHARRON DE PRENSA,,,,,,,,,,
3366,,,,,,,,MEZCLA BONLE,,,,,,
3367,,,,,,,,MORON AMERICANO TRIGO,,,,,,
3368,,,,,,,,,,,COMIDA PARA GATO HÚMEDA,,,
3369,,,,,,,,VAINITA CHOCLO Y ZANAHORI,,,,,,
3370,,,,,,,,MEZCLA LACTEO,,,,,,
3371,PASTEL DE ZANAHORIA,,,,,,,,,,,,,
3372,,,,,,,,,,,,,,PONCHE DE HUEVO
3373,,,,,,,,CHOCLO PARA PERICO,,,,,,
3374,,,,,,,,,,,,,,HUEVOS SANCOCHADO DE CODO
3375,ARVEJA CON ZANAHORIA PICA,,,,,,,,,,,,,
3376,,,,,,,,MANI TOSTADO SIN CASCARA,,,,,,
3377,,,,,,,,,,,,,,HUEVO SANCOCHADO DE CODOR
3378,,,,,,,,MEZCLA LÁCTEA COMPUESTA E,,,,,,
3379,ZANAHORIA CHOCLO Y ALVERJ,,,,,,,,,,,,,
3380,,,,,,,,,,,,,FIDEOS FETUCCINI ENVASADO,
3381,,,,,,,,MEZCLA LACTEA RECONSTITUI,,,,,,
3382,,,,,,,,,,ACEITE DE SOYA EVASADO,,,,
3383,,,,,,,,,,,COMIDA PARA GATO AGRANEL,,,
3384,,,,,,,,,,ACEITE DE OLIVO EXTRAVIRG,,,,
3385,"ZANAHORIA,ARVEJA, CHOCLO",,,,,,,,,,,,,
3386,,,,,,,PIMIENTA ENTERA ENVAZADA,,,,,,,
3387,,,,,,,,MEZCLA DE HOJUELAS QUINUA,,,,,,
3388,,,,CEBADA INSTANTÁNEA,,,,,,,,,,
3389,,,,,,,PIMIENTA ENTERA ENVASADO,,,,,,,
3390,,,,,,,,,,,,,,HUEVOS DE CODORNIZ SANCOC
3391,,,,,,,,,,,,,,PAPÁ HUEVO DE INDIO
3392,,,,,,,,,ARROZ AÑEJO EXTRA,,,,,
3393,,,,,,,,,,,,,,HUEVOS DE GALLINA DE CORR
3394,,,,,,,,MANI TOSTADO ENTERO,,,,,,
3395,,,,,,,,CHOCLO CUSQUEÑO,,,,,,
3396,,,,,,,,MANI PELADO ENTERO CRUDO,,,,,,
3397,,,,,,,,,,,CROQUETA PARA GATO,,,
3398,,,,,,,,ALVERJA CON CHOCLO PICADO,,,,,,
3399,,,,,,,,CHOCLO MUÑECO,,,,,,
3400,,,,,,,,,,,,,FIDEOS TALLARINES AGRANEL,
3401,,,,,,,,CHICHA DE MANI,,,,,,
3402,,,,,,,,MEZCLA LACTEA EVAPORADA E,,,,,,
3403,,,,,,,,TRIGO PRECOCIDA,,,,,,
3404,,,,,,,,,ARROZ CHAUFA CON TALLARIN,,,,,
3405,,,,,,,,MANI CON CASCARA COCINADO,,,,,,
3406,,,,,,,,,,,,,FIDEOS A GRANEL,
3407,ARVEJA Y ZANAHORIA,,,,,,,,,,,,,
3408,,,,,,,,,,,COMIDA PARA GATOS SUELTO,,,
3409,,,,CHICHA MORADA ENVASADA,,,,,,,,,,
3410,,,,,,,,CHOCLO LICUADO,,,,,,
3411,,,,,,,,,,,CORTEZA DE UÑA DE GATO PA,,,
3412,,,,,,,,,,YOGURT CON CEREAL,,,,
3413,,,,,,,,,,,,,,HUEVOS DE CODORNIZ
3414,,,,Chicharron,,,,,,,,,,
3415,,,,,,,,,ARROZ CORRIENTE PARA PERR,,,,,
3416,,,,,,,,,,,,,,HUEVOS DE CODORNIZ PREOAR
3417,,,,,,,,,,,,,,HAMBURGUESA DE HUEVO
3418,,,,,,,,MEZCLA DE CEREALES AZUCAR,,,,,,
3419,,,,CHICHA PARA MACERAR,,,,,,,,,,
3420,,,,VINAGRE DE CHICHA,,,,,,,,,,
3421,,,,,,,,,,,,,FIDEOS TALLARIN DE CASA,
3422,,,,SALCHICHA ENVASADA,,,,,,,,,,
3423,,,,,,,,,,,,,,HUEVOS A GRANEL
3424,,,,,,,,,,,COMIDA PARA GATOS A GRANE,,,
3425,,,,,,,,,ARROZ CON LENTEJA,,,,,
3426,,,,,,,TE MANZANILLA HIERBA LUIS,,,,,,,
3427,,,,,,,,,,,,,,HUEVO COCINADO
3428,,,,,,,,,,,,,FIDEOS CABELLO DE ANGEL,
3429,HABA CHOCLO ZANAHORIA,,,,,,,,,,,,,
3430,,,,,,,,,,,,,,HUEVO DECODORNIZ SANCOCHA
3431,,,,,,,,MEZCLA PREPARADOA,,,,,,
3432,,,,CEBADA PARTIDA,,,,,,,,,,
3433,,,,,,,,TRIGO PELADO MOTE (SIN CA,,,,,,
3434,,,,BROCHETA DE SALCHICHA,,,,,,,,,,
3435,,,,,,,,,,,,,,HUEVO A GRANEL
3436,,,,,,,,MEZCLA DE CHUÑO,,,,,,
3437,,,,,,,,,ARROZ CHAUFA,,,,,
3438,,,,,,,,,ARROZ CORRIENTE,,,,,
3439,,,,,,,COLAI CABALLO HIERBA EN R,,,,,,,
3440,,,,,,,,CHOCLO DE LA REGION,,,,,,
3441,,,,,,,,,MAZAMORRA MORADA ARROZ CO,,,,,
3442,,,,,,,COMINO Y PIMIENTA A GRANE,,,,,,,
3443,,,,,,,,,ARROZ GRANILLO,,,,,
3444,,,,,,,,MEZCLA LACTEA ENRIQUECIDA,,,,,,
3445,,,,,,,,MACHICA DE TRIGO,,,,,,
3446,,,,,,,,PASTEL DE CHOCLO,,,,,,
3447,,,,,,,,,ARROZ CHAUFA REGIONAL,,,,,
3448,,,,SALCHICHA A LA PARRILLA,,,,,,,,,,
3449,,,,,,,,,,ACEITE DE COCO,,,,
3450,,,,,,,PIMIENTA Y COMINO SUELTO,,,,,,,
3451,,,,CEBADA PARTIDA A GRANEL,,,,,,,,,,
3452,,,,CHICHARON DE ALPACA,,,,,,,,,,
3453,,,,ANTICUCHO DE SALCHICHA,,,,,,,,,,
3454,,,,,,,,,,ANCHOVETA EN ACEITE VEGET,,,,
3455,,,,,,,,IDEAL MEZCLA LÁCTEA,,,,,,
3456,,,,MORON DE CEBADA A GRANEL,,,,,,,,,,
3457,,,,,,,,,,MEZCLA LACTEA EN ACEITE V,,,,
3458,,,,,,,,MORÓN AMERICANO (TRIGO),,,,,,
3459,,,,,,,,CHOCLO SERRANO,,,,,,
3460,,,,,,,,,,YOGURT NATURAL ENVASADO,,,,
3461,,,,,,,,,,MARCIANO DE YOGURT,,,,
3462,,,,,,,,TRIGO PRECOCINADO,,,,,,
3463,,,,,,,,MEZCLA LÁCTEO,,,,,,
3464,,,,,,,,MEZCLA DE COMINO Y PIMIEN,,,,,,
3465,,,,,,,,MEZCLA LACTEA LIGHT,,,,,,
3466,,,,,,,,,ARROZ CORRIENTE ENVASADO,,,,,
3467,,,,,,,,,LENTEJAS CON ARROZ PESCAD,,,,,
3468,,,,CHICHA BLANCA DE MANÍ,,,,,,,,,,
